title,url,price_numeric,municipality,condition,ad_type,property_type,rooms,square_m2,equipment,level,heating,price_per_m2
Grbavica - Dvosoban stan CCA 54m2 - [Iznajmljivanje],https://olx.ba/artikal/69231197,800.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,54.0,Namješten,6,Struja,14.814814814814817
Dvosoban namješten stan u novijoj gradnji/ Tibra/ Stup - [Iznajmljivanje],https://olx.ba/artikal/71790297,800.0,Ilidža,Dobro stanje,Iznajmljivanje,Stan,2.0,50.0,Namješten,5,Centralno (Kotlovnica),16.0
Stan Otoka Aneks Novi Grad Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71852965,800.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,2.0,57.0,Namješten,1,Centralno (gradsko),14.035087719298245
Dvosoban stan 61m2- Centar - [Iznajmljivanje],https://olx.ba/artikal/70583662,800.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,2.0,61.0,Namješten,1,Centralno (Plin),13.114754098360656
Iznajmljivanje / Stan sa jednom spavacom sobom / Nova Otoka - [Iznajmljivanje],https://olx.ba/artikal/71616907,800.0,Sarajevo - Novi Grad,Novogradnja,Iznajmljivanje,Stan,2.0,49.0,Namješten,9,Centralno (Kotlovnica),16.3265306122449
Stan Sarajevo - Novi Grad 64m2 - [Iznajmljivanje],https://olx.ba/artikal/71811814,800.0,Sarajevo - Novi Grad,Novogradnja,Iznajmljivanje,Stan,3.0,64.0,Namješten,4,Centralno (Plin),12.5
Stan Sarajevo - Centar Šip - [Iznajmljivanje],https://olx.ba/artikal/70974754,800.0,Sarajevo - Novi Grad,Dobro stanje,Iznajmljivanje,Stan,3.0,80.0,Namješten,1,Plin,10.0
Dvosoban namješten stan - Centar - Jezero - 55 m2 - [Iznajmljivanje],https://olx.ba/artikal/71722942,800.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,2.0,55.0,Namješten,0,Centralno (gradsko),14.545454545454543
Dvosoban stan - Novo Sarajevo - Grbavica 2 - 54 m2 - [Iznajmljivanje],https://olx.ba/artikal/71369685,800.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,2.0,54.0,Namješten,3,Centralno (Plin),14.814814814814817
PRO COST | Stan Sarajevo - Novi Grad - [Iznajmljivanje],https://olx.ba/artikal/63708398,800.0,Sarajevo - Novi Grad,Novogradnja,Iznajmljivanje,Stan,2.0,48.0,Namješten,8,Centralno (gradsko),16.666666666666668
NN Nekretnine : Dvosoban stan - Grbavica - [Iznajmljivanje],https://olx.ba/artikal/66856968,800.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,53.0,Namješten,4,Struja,15.09433962264151
Stan Sarajevo - Novo Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71768204,800.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,82.0,Namješten,0,Centralno (Kotlovnica),9.75609756097561
"Dvosoban stan u samom centru, Branilaca Sarajeva - [Iznajmljivanje]",https://olx.ba/artikal/71844335,800.0,Sarajevo - Novi Grad,Dobro stanje,Iznajmljivanje,Stan,2.0,62.0,Namješten,2,Plin,12.903225806451612
"PROSTOR izdaje: Trosoban stan, Skenderija - [Iznajmljivanje]",https://olx.ba/artikal/67163108,800.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,3.0,82.0,Namješten,1,Ostalo,9.75609756097561
